Course,Section,Class,Credits,Title,Instructor(s),Time,Day,Room(s)
IST601,M050,21733,1.0,Info. & Info Environments,Martha A Garcia-Murillo,8:00am - 5:00pm,SaSu,Watson Theater
IST602,M001,29465,3.0,Digital Forensics,Mark Mollineaux Pollitt,9:00am - 5:00pm,SaSu,Hinds Hall 027
IST605,M001,21682,3.0,Reference& Info Literacy Svces,Jill Ann Hurst-Wahl,5:00pm - 7:45pm,Th,Hinds Hall 021
IST605,M801,21685,3.0,Reference& Info Literacy Svces,Renee F. Hill,12:00am - 12:00am,,Online
IST605,M802,29650,3.0,Reference& Info Literacy Svces,Renee F. Hill,12:00am - 12:00am,,Online
IST611,M800,21728,3.0,Info. Tech. in Educ. Orgs.,Marilyn Plavocos Arnone,12:00am - 12:00am,,Online
IST614,M001,21683,3.0,Mngmt Prncpls for Info Profess,Agnieszka Kwiatkowska,9:30am - 12:15pm,W,Hinds Hall 111
IST614,M004,21686,3.0,Mngmt Prncpls for Info Profess,Johanna Birkland,5:15pm - 8:05pm,W,Hinds Hall 117
IST614,M002,21735,3.0,Mngmt Prncpls for Info Profess,Steven B Sawyer,9:30am - 12:15pm,M,Hinds Hall 018
IST614,M801,21796,3.0,Mngmt Prncpls for Info Profess,Robert Brenner,12:00am - 12:00am,,Online
IST616,M001,21644,3.0,Info Rsces: Organiz & Access,Brian Dobreski,9:30am - 12:15pm,F,Hinds Hall 117
IST616,M800,21645,3.0,Info Rsces: Organiz & Access,Barbara H Kwasnik,12:00am - 12:00am,,Online
IST617,M800,21691,3.0,Motivational Aspects/Info Use,Ruth V Small,12:00am - 12:00am,,Online
IST618,M001,21635,3.0,Information Policy,Martha A Garcia-Murillo,12:15pm - 3:00pm,Tu,Hinds Hall 117
IST618,M003,21640,3.0,Information Policy,Janet E Moon,2:15pm - 5:05pm,M,Hinds Hall 018
IST618,M002,21646,3.0,Information Policy,Lee W McKnight,9:30am - 12:15pm,M,Hinds Hall 021
IST618,M801,21717,3.0,Information Policy,Raed M. Sharif,12:00am - 12:00am,,Online
IST619,M001,21647,3.0,Economics for Info Managers,Ian P MacInnes,9:30am - 12:20pm,W,Hinds Hall 117
IST621,M006,21754,3.0,Intro to Information Mgmt.,James Stewart,2:15pm - 5:00pm,F,Huntington Beard Crouse Kit
IST621,M001,21756,3.0,Intro to Information Mgmt.,James Stewart,5:00pm - 7:45pm,Th,Life Science Building 001
IST621,M002,21904,3.0,Intro to Information Mgmt.,Frank Jr Marullo,5:00pm - 7:50pm,Th,CH001
IST622,M001,21798,3.0,Preserv. of Cultural Heritage,Edward Anselm Aiken  Emily W Stokes-Rees,5:15pm - 8:05pm,M,Hinds Hall 011
IST623,M800,21684,3.0,Intro to Information Security,Joon S. Park,12:00am - 12:00am,,Online
IST623,M001,21775,3.0,Intro to Information Security,Bahram A Attaie,5:00pm - 6:30pm,Tu,Hinds Hall 111
IST623,M002,21776,3.0,LAB: Intro to Information Security,Bahram A Attaie,5:00pm - 6:30pm,Tu,Hinds Hall 011
IST323,M002,21746,3.0,Intro to Information Security,Christopher Croad,2:15pm - 3:35pm,M,Hinds Hall 117
IST323,M003,21760,3.0,LAB: Intro to Information Security,Christopher Croad,2:15pm - 3:35pm,W,Hinds Hall 010
IST323,M004,21785,3.0,Intro to Information Security,Timothy J Van Waes,8:00am - 9:20am,WF,Hinds Hall 018
IST325,M001,21675,3.0,Information Mgmt Consultation,Danielle Renee Saponara,5:00pm - 7:50pm,Th,Hinds Hall 117
IST335,M001,21623,3.0,Intro/Info Based Organizations,Michael A D'Eredita,11:00am - 12:20pm,TuTh,Hinds Hall 021
IST335,M002,21624,3.0,Intro/Info Based Organizations,Jeffrey Fouts,5:00pm - 7:50pm,Th,Hinds Hall 111
